"","SPECIES","DATE","STATE","TIME","LOC","LAT","LONG","BAND_PR","BAND_N","L","R","AGE","SEX","WT","FAT","BM","BILL_L","BILL_W","BILL_D","WING","TARS","TAIL","RFID","GEOLOCATOR_ID","FEEDER","BANDER","NOTES","RECAP"
"40","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18140,"P","A","AHY","F",13.4,0,NA,7.26,5.35,5.8,66,16.43,50,"011016E2D3",NA,"CG6","AMV","NO BP,","N"
"41","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18141,"P","A","ASY","M",14.7,0,NA,7.8,4.59,5.8,73,17.49,55,"0110173C20",NA,"CG6","KSS","MEDIUM CP","N"
"42","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18142,"P","A","ASY","M",14.8,0,NA,7.38,4.36,6,72,16.04,56,"110174458",NA,"CG6","KSS","LARGE CP","N"
"43","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18143,"P","A","ASY","M",14.6,0,NA,7.57,4.8,5.65,74,16.18,55,"110171675",NA,"CG6","KSS","MED CP","N"
"44","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18144,"P","A","ASY","M",14.7,0,NA,6.7,4.74,5.51,74,15.84,56,"01103F61F0",NA,"CG6","KSS","LARGE CP","N"
"45","LAZB",2019-06-12,"UT",0,"CG",NA,NA,2811,18145,"P","A","SY","M",14.8,0,NA,7.07,4.16,5.63,75,16.71,57,"011016D155",NA,"CG6","KSS","MED CP","N"
"46","BALO",2019-06-12,"UT",NA,"CG",NA,NA,2811,18146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOST OR MISSING?","N"
"47","LAZB",2019-06-13,"UT",0,"CG",NA,NA,2811,18147,"P",NA,"ASY","F",14,0,NA,7.19,5.46,5.53,66,15.9,55,"0110173CBF",NA,"CG2","AMV","DEVELOPED BP","N"
"48","LAZB",2019-06-13,"UT",0,"CC",NA,NA,2811,18148,"B",NA,"SY","M",15.2,0,NA,7.99,4.45,5.55,72,16.5,55,"01103F6ABA",NA,"CC3","KSS","LARGE CP","N"
"49","LAZB",2019-06-17,"UT",0,"CG",NA,NA,2811,18149,"P",NA,"ASY","M",15.1,0,NA,7.46,4.37,5.31,74,16.52,57,"0110171E59",NA,"CG2","KSS","LARGE CP","N"
"50","LAZB",2019-06-18,"UT",0,"CC",NA,NA,2811,18150,"B",NA,"SY","F",16.3,0,NA,7.26,4.53,5.72,66,16.91,52,"01103F8944",NA,"CC3","AMV","FULL BP","N"
"51","LAZB",2019-06-18,"UT",0,"CC",NA,NA,2811,18151,"B",NA,"SY","F",14.5,0,NA,6.85,4.36,5.68,66,16.6,52,"011016B85A",NA,"CC1","AMV","FULL BP","N"
"52","LAZB",2019-06-24,"UT",0,"CG",NA,NA,2811,18152,"P",NA,"SY","F",14.6,0,NA,7.57,4.5,5.81,66,16.95,51,"01103F510A",NA,"CG6","AMV","FULL BP","N"
"53","LAZB",2019-06-24,"UT",0,"CG",NA,NA,2811,18153,"P",NA,"ASY","M",15.8,0,NA,7.33,4.58,5.67,73,16.54,55,"011016D4BE",NA,"CG6","KSS","LARGE CP","N"
"54","LAZB",2019-06-27,"UT",0,"CC",41.74221,-111.79886,2811,18154,"A",NA,"N","U",8.3,NA,NA,NA,NA,NA,NA,13.06,NA,NA,NA,"19-3","KSS","PINS ABOUT TO BREAK, SEEMS A BIT UNDERDEVELOPED FOR AGE. THERE WERE THREE NETSLINGS YESTURDAY, JUST ONE TODAY... PARTIAL PRED ABANDNMENT?","N"
"55","LAZB",2019-07-01,"UT",0,"CG",41.88179,-111.56714,2811,18155,"A",NA,"N","U",9.8,NA,NA,NA,NA,NA,NA,15.02,NA,NA,NA,"19-2","KSS","PINS JUST STARTING TO BREAK. SEEM LIKE DAY 6/7 SIZE, MORE ON SIDE OF DAY 6","N"
"56","LAZB",2019-07-01,"UT",0,"CG",41.88179,-111.56714,2811,18156,"A",NA,"N","U",10,NA,NA,NA,NA,NA,NA,14.83,NA,NA,NA,"19-2","AMV","PINS JUST STARTING TO BREAK. SEEM LIKE DAY 6/7 SIZE, MORE ON SIDE OF DAY 6","N"
"57","LAZB",2019-07-01,"UT",0,"CG",41.88179,-111.56714,2811,18157,"A",NA,"N","U",9.7,NA,NA,NA,NA,NA,NA,14.74,NA,NA,NA,"19-2","AMV","PINS JUST STARTING TO BREAK. SEEM LIKE DAY 6/7 SIZE, MORE ON SIDE OF DAY 6","N"
"58","LAZB",2019-07-01,"UT",0,"CG",41.88179,-111.56714,2811,18158,"A",NA,"N","U",11.2,NA,NA,NA,NA,NA,NA,15.78,NA,NA,NA,"19-2","AMV","PINS JUST STARTING TO BREAK. SEEM LIKE DAY 6/7 SIZE, MORE ON SIDE OF DAY 6","N"
"59","LAZB",2019-07-01,"UT",0,"CG",41.8828,-111.567,2811,18159,"P","A","ASY","F",16.7,0,NA,7.46,5.37,5.77,68,16.87,51,"011016B64E",NA,"19-1","AMV","FULL BP","N"
"60","LAZB",2019-07-03,"UT",0,"CG",NA,NA,2811,18160,"P","WA","ASY","M",15,0,NA,7.83,4.65,5.77,71,16.8,55,"01101741F2","BT186","CG3","KSS","MEDIUM CP","N"
"61","LAZB",2019-07-04,"UT",0,"CG",NA,NA,2811,18161,"P","WA","ASY","M",15.2,0,NA,7.76,4.65,5.74,73,16.47,56,"011016DD86","BT175","CG6","KSS","MEDIUM CP","N"
"62","LAZB",2019-07-04,"UT",0,"CG",NA,NA,2811,18162,"P","A","ASY","F",14.2,0,NA,6.75,4.5,5.63,68,16.63,55,"0110172CB9",NA,"CG6","AMV","BP","N"
"63","LAZB",2019-07-04,"UT",0,"CG",NA,NA,2811,18163,"P","A","SY","M",15.5,0,NA,7.38,5.03,6.05,72,16.63,53,"011016B7D0",NA,"CG6","KSS","LARGE CP","N"
